2023-05-09 16:17:25,623 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27720.0, 'bs': 0.01036, 'ap': 27731.62, 'as': 0.19, 't': Timestamp(seconds=1683667045, nanoseconds=599394160)}
2023-05-09 16:17:25,624 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27720.0, 'bs': 0.01036, 'ap': 27731.79, 'as': 0.03606, 't': Timestamp(seconds=1683667045, nanoseconds=603263310)}
2023-05-09 16:17:25,710 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27720.0, 'bs': 0.01036, 'ap': 27731.86, 'as': 0.00444, 't': Timestamp(seconds=1683667045, nanoseconds=683468330)}
2023-05-09 16:17:25,711 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27731.86, 's': 0.00444, 't': Timestamp(seconds=1683667045, nanoseconds=729000000), 'i': 16586147, 'tks': 'B'}
2023-05-09 16:17:25,712 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27734.62, 's': 0.03178, 't': Timestamp(seconds=1683667045, nanoseconds=729000000), 'i': 16586148, 'tks': 'B'}
2023-05-09 16:17:25,712 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27720.0, 'bs': 0.01036, 'ap': 27734.64, 'as': 0.19, 't': Timestamp(seconds=1683667045, nanoseconds=738642454)}
2023-05-09 16:17:25,712 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27720.0, 'bs': 0.01036, 'ap': 27734.61, 'as': 0.16726, 't': Timestamp(seconds=1683667045, nanoseconds=738726281)}
2023-05-09 16:17:25,712 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27720.0, 'bs': 0.01036, 'ap': 27733.2, 'as': 0.03606, 't': Timestamp(seconds=1683667045, nanoseconds=741601881)}
2023-05-09 16:17:25,713 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27720.0, 'bs': 0.01036, 'ap': 27732.33, 'as': 0.19, 't': Timestamp(seconds=1683667045, nanoseconds=754238651)}
2023-05-09 16:17:25,713 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27720.0, 'bs': 0.01036, 'ap': 27733.2, 'as': 0.03606, 't': Timestamp(seconds=1683667045, nanoseconds=759604322)}
